FROM,TO,TIMING
NIGDI,SHIRGAON SAI BABA MANDIR,8.05AM 9.30AM 11.00AM 12.25PM 3.20PM 4.45PM6.15PM 
SAI BABA MANDIR SHIRGAON,NIGDI,8.45AM 10.15AM 11.45AM 1.15PM 4.00PM 5.30PM7.00PM
KATRAJ,SHIVAJINAGAR, 6.00AM 6.30AM 7.00AM 7.25AM 7.50AM 8.20AM 8.50AM 9.15AM 9.40AM 10.10AM 10.40AM 11.05AM 12.00PM 12.30PM 1.00PM 1.25PM 2.00PM 2.30PM 2.55PM 3.20PM 3.50PM 4.20PM 4.45PM 5.10PM 5.40PM 6.10PM 6.35PM 7.00PM 8.00PM 8.30PM 8.55PM 9.25PM
SHIVAJINAGAR,KATRAJ,6.55AM 7.25AM 7.55AM 8.20AM 8.45AM 9.15AM 9.45AM 10.10AM 10.35AM 11.05AM 11.35AM 12.00PM 12.55PM 1.25PM 1.55PM 2.20PM 2.55PM 3.25PM 3.50PM 4.15PM 4.45PM 5.15PM 5.40PM 6.05PM 6.35PM 7.05PM 7.30PM 7.55PM 8.55PM 9.25PM 9.50PM 10.20PM
SWARGATE,SAHKAR NAGAR, 6.00AM 6.35AM 7.15AM 7.55AM 8.35AM 9.15AM 9.55AM 10.35AM 11.45AM 12.25PM 1.05PM 2.00PM 2.40PM 3.20PM 4.00PM 5.10PM 5.50PM 6.30PM 7.10PM 7.50PM 8.30PM 9.10PM
SAHKAR NAGAR,SWARGATE, 6.15AM 6.55AM 7.35AM 8.15AM 8.55AM 9.35AM 10.15AM 11.25AM 12.05PM 12.45PM 1.25PM 2.20PM 3.00PM 3.40PM 4.50PM 5.30PM 6.10PM 6.50PM 7.30PM 8.10PM 8.50PM 9.30PM
JANATA VASAHAT APALA CHOWK,SHIVAJINAGAR, 8.00AM 9.30AM 11.00AM 12.30PM 5.00PM 6.30PM
SHIVAJINAGAR,JANATA VASAHAT APALA CHOWK, 8.45AM 10.15AM 11.45AM 4.15PM 5.45PM 7.15PM
MARKETYARD,PIMPALEGURAV,5.20AM 5.35AM 6.05AM 6.25AM 6.55AM 7.30AM 7.40AM 7.50AM 8.10AM 8.30AM 8.45AM 9.00AM 9.20AM 9.35AM 10.00AM 10.10AM 10.25AM 10.40AM 10.50AM 11.00AM 11.15AM 11.30AM 11.50AM 12.10PM 12.30PM 12.45PM 12.55PM 1.20PM 1.35PM 1.50PM 2.20PM 2.35PM 2.45PM 3.20PM 3.30PM 3.40PM 4.05PM 4.20PM 4.40PM 5.00PM 5.20PM 5.35PM 5.50PM 6.00PM 6.30PM 6.55PM 7.10PM 7.30PM 7.50PM 8.30PM 8.50PM 9.25PM 9.55PM 10.10PM
PIMPALEGURAV,MARKETYARD, 6.25AM 6.40AM 7.10AM 7.30AM 8.10AM 8.40AM 9.00AM 9.00AM 9.20AM 9.40AM 10.00AM 10.10AM 10.35AM 10.55AM 11.15AM 11.25AM 11.40AM 11.55AM 12.00PM 12.20PM 12.35PM 12.50PM 1.10PM 1.30PM 1.50PM 2.00PM 2.10PM 2.30PM 2.50PM 3.05PM 3.35PM 3.50PM 4.00PM 4.30PM 4.45PM 4.55PM 5.15PM 5.35PM 6.00PM 6.20PM 6.40PM 6.55PM 7.15PM 7.25PM 7.55PM 8.10PM 8.30PM 8.45PM 9.00PM 9.40PM 10.00PM 10.40PM 11.05PM 11.15PM
